# ----------------------------------------
# Landing page
# Account: info@urban-warzone.com
# Property: Urban War Zone Paintball - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251022
# End date: 20260321
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,8826,7020,6965,65.42907319283934,0,0,0
/rental-prices/individual-rental-prices,745,439,224,13.520805369127517,0,0,0
/rental-prices,724,491,353,34.6767955801105,0,0,0
/blog/gear/compressed-air-tank-for-paintball,645,598,596,77.73178294573644,0,0,0
(not set),454,321,5,1.7070484581497798,0,0,0
/paintball-reservations,347,317,281,84.94524495677233,0,0,0
/blog/gear/paintball-co2-tank,333,321,319,58.86186186186186,0,0,0
/pictures,311,191,68,5.485530546623794,0,0,0
/rental-prices/medium-group-discount,271,168,99,37.77490774907749,0,0,0
/waiver,220,146,126,12.586363636363636,0,0,0
/paintball-birthday-party,183,161,134,67.32786885245902,0,0,0
/paintball-reservations/gateway,180,115,32,36.80555555555556,0,0,0
/cart,152,79,28,48.88815789473684,0,0,0
/hiring-for-paintball-jobs-work,152,54,47,2.4210526315789473,0,0,0
/frequently-asked-questions,147,112,71,29.07482993197279,0,0,0
/product/basic-unconfirmed-paintball-reservation,129,80,38,22.930232558139537,0,0,0
/blog/party/bruises-from-paintball,119,110,110,31.65546218487395,0,0,0
/blog/party/unforgettable-bachelor-party-ideas-houston,113,112,112,39.88495575221239,0,0,0
/project/paintball-in-houston,97,63,34,10.34020618556701,0,0,0
/what-to-expect-playing-paintball,89,74,57,14.49438202247191,0,0,0
/contact,86,83,72,10.779069767441861,0,0,0
/blog/party/do-paintballs-stain-clothes,83,79,76,19.518072289156628,0,0,0
/hours-operation,83,73,62,13.771084337349398,0,0,0
/Thank-You,82,54,3,9.5,0,0,0
/product/basic-package-small,64,33,7,11.984375,0,0,0
/blog/business/team-building-for-football,63,63,63,30.238095238095237,0,0,0
/co2-refill-price,60,55,54,21.8,0,0,0
/product/elite-unconfirmed-paintball-reservation,60,44,23,24.95,0,0,0
/map-to-the-field,58,53,37,19.862068965517242,0,0,0
/product/basic-package-medium,54,29,6,29.037037037037038,0,0,0
/corporate-team-building-games,51,48,38,10.607843137254902,0,0,0
/product/deluxe-unconfirmed-paintball-reservation,51,43,31,21.431372549019606,0,0,0
/product/dexluxe-package-small,50,46,30,35.38,0,0,0
/rental-prices/extra-paintballs,48,36,32,0.9375,0,0,0
/blog,44,44,44,0.8409090909090909,0,0,0
/low-impact-paintball-for-kids,44,44,39,27.022727272727273,0,0,0
/product/elite-package-small,44,40,28,8.795454545454545,0,0,0
/my-account,43,43,41,3.186046511627907,0,0,0
/buy-used-paintball-guns-houston,41,41,40,13.560975609756097,0,0,0
/product-category/paintball-rental-packages/up-to-5-players,41,41,41,0.6585365853658537,0,0,0
/about-us,40,40,38,10.45,0,0,0
/rental-prices/large-group-discount,39,31,25,1.9487179487179487,0,0,0
/product/deluxe-package-medium,38,26,8,80.73684210526316,0,0,0
/blog/party/adult-paintball,35,35,36,4.485714285714286,0,0,0
/rental-prices/monthly-vip-membership,35,20,14,18.65714285714286,0,0,0
/terms-conditions,35,35,33,1.7428571428571429,0,0,0
/product/large-gift-certificate,34,34,34,1.7058823529411764,0,0,0
/blog/party,33,33,33,0.12121212121212122,0,0,0
/product-category/paintball-rental-packages,33,33,34,1.696969696969697,0,0,0
/unlimited-private-play,33,31,27,16.09090909090909,0,0,0
/thank-you,32,32,32,23.34375,0,0,0
/product-category/paintball-gift-certificates,31,31,31,1.4193548387096775,0,0,0
/product-category/paintball-rental-packages/up-to-40-players,31,31,31,1.7419354838709677,0,0,0
/product/small-gift-certificate,31,31,33,1.2580645161290323,0,0,0
/compressed-air-refill-price,29,24,24,11.620689655172415,0,0,0
/paintball-game-types,29,28,26,1.2413793103448276,0,0,0
/contact-us,28,28,28,1.7857142857142858,0,0,0
/product/deluxe-package-large,28,28,28,2,0,0,0
/blog/business/team-bonding-cost,27,27,27,1.7037037037037037,0,0,0
/checkout,27,15,2,78.62962962962963,0,0,0
/product-category/paintball-rental-packages/drop-in-reservation,27,26,25,1.1851851851851851,0,0,0
/product-category/paintball-rental-packages/up-to-20-players,27,27,27,0.6296296296296297,0,0,0
/blog/gear/paintball-repair-houston,25,25,25,6.16,0,0,0
/product/elite-package-large,25,25,25,3.16,0,0,0
/rental-prices/food-pricing,24,16,13,2,0,0,0
/blog/news/2024-beryl-status,23,23,23,0,0,0,0
/rental-prices/gear-requirements,21,18,16,6.714285714285714,0,0,0
/rental-prices/get-faster-paintball-marker,20,19,18,8.05,0,0,0
/get-a-free-paintball-grenade,19,15,14,2.736842105263158,0,0,0
/blog/news/2025-new-years-day,16,15,13,4.375,0,0,0
/blog/news/pump-league-may-2023,16,16,16,9.0625,0,0,0
/product/elite-package-medium,15,12,8,34.2,0,0,0
/rental-prices/introduction-to-paintball,15,12,11,4.266666666666667,0,0,0
/blog/news/2023-july-4-introduction,14,14,14,0,0,0,0
/blog/news/2023-july-4-1917,13,13,13,0,0,0,0
/select-gift-certificate-amount,12,11,11,2.1666666666666665,0,0,0
/paintball-birthday-invitations,10,8,7,18.2,0,0,0
/blog/news,8,8,8,0,0,0,0
/blog/news/2024-spring-break-free-lunch,6,5,5,2,0,0,0
/birthday.shtml,4,4,4,0.75,0,0,0
/blog/news/pump-league-june-2023,4,4,4,0,0,0,0
/my-account/view-order/42142,4,0,0,0,0,0,0
/blog/news/2024-spring-break-vibes,3,3,3,0,0,0,0
/product/medium-gift-certificate,3,3,3,0,0,0,0
/rental-prices/membership-terms-conditions,3,3,3,0,0,0,0
,2,0,0,0,0,0,0
/product/basic-package-large,2,1,0,0,0,0,0
/author/admin,1,1,1,0,0,0,0
/blog/business,1,1,1,0,0,0,0
/blog/gear,1,1,1,0,0,0,0
/my-account/view-order/42558,1,1,0,10,0,0,0
/online-paintball-reservations,1,1,1,0,0,0,0
/request-corporate-event-quote,1,1,1,1,0,0,0

# Organic traffic
# Start date: 20251022
# End date: 20260321
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,4922,3694,3585,89.6355140186916,0,0,0
/rental-prices/individual-rental-prices,433,214,41,10.903002309468823,0,0,0
/rental-prices,450,264,151,43.19111111111111,0,0,0
/blog/gear/compressed-air-tank-for-paintball,476,428,426,99.86764705882354,0,0,0
(not set),339,234,1,1.463126843657817,0,0,0
/paintball-reservations,193,178,151,111.74611398963731,0,0,0
/blog/gear/paintball-co2-tank,209,197,195,88.32535885167464,0,0,0
/pictures,148,88,11,4.851351351351352,0,0,0
/rental-prices/medium-group-discount,131,68,10,31.374045801526716,0,0,0
/waiver,39,21,10,22.897435897435898,0,0,0
/paintball-birthday-party,87,70,48,98.4367816091954,0,0,0
/paintball-reservations/gateway,128,72,1,38.8046875,0,0,0
/cart,95,47,10,65.81052631578947,0,0,0
/hiring-for-paintball-jobs-work,108,12,5,1.712962962962963,0,0,0
/frequently-asked-questions,57,38,7,41.05263157894737,0,0,0
/product/basic-unconfirmed-paintball-reservation,60,27,0,30,0,0,0
/blog/party/bruises-from-paintball,72,64,64,46.361111111111114,0,0,0
/blog/party/unforgettable-bachelor-party-ideas-houston,62,61,61,70.7741935483871,0,0,0
/project/paintball-in-houston,48,24,7,10.666666666666666,0,0,0
/what-to-expect-playing-paintball,32,26,15,24.34375,0,0,0
/contact,16,13,4,47.9375,0,0,0
/blog/party/do-paintballs-stain-clothes,49,45,45,29.6734693877551,0,0,0
/hours-operation,24,15,7,35,0,0,0
/Thank-You,65,41,0,9.169230769230769,0,0,0
/product/basic-package-small,32,13,0,12.4375,0,0,0
/blog/business/team-building-for-football,34,34,34,55.85294117647059,0,0,0
/co2-refill-price,35,33,33,37.05714285714286,0,0,0
/product/elite-unconfirmed-paintball-reservation,20,9,0,30.95,0,0,0
/map-to-the-field,22,19,8,47.31818181818182,0,0,0
/product/basic-package-medium,35,18,0,39.2,0,0,0
/corporate-team-building-games,15,12,5,24.8,0,0,0
/product/deluxe-unconfirmed-paintball-reservation,14,6,0,46.57142857142857,0,0,0
/product/dexluxe-package-small,10,7,0,43.8,0,0,0
/rental-prices/extra-paintballs,4,4,1,7.75,0,0,0
/blog,0,0,0,0,0,0,0
/low-impact-paintball-for-kids,16,16,13,63.125,0,0,0
/product/elite-package-small,7,5,0,2.5714285714285716,0,0,0
/my-account,2,2,0,8,0,0,0
/buy-used-paintball-guns-houston,1,1,0,487,0,0,0
/product-category/paintball-rental-packages/up-to-5-players,0,0,0,0,0,0,0
/about-us,7,7,5,36.714285714285715,0,0,0
/rental-prices/large-group-discount,8,4,0,0.125,0,0,0
/product/deluxe-package-medium,22,14,0,112.27272727272727,0,0,0
/blog/party/adult-paintball,8,8,8,18.5,0,0,0
/rental-prices/monthly-vip-membership,21,8,4,21.285714285714285,0,0,0
/terms-conditions,1,1,0,0,0,0,0
/product/large-gift-certificate,0,0,0,0,0,0,0
/blog/party,2,2,2,2,0,0,0
/product-category/paintball-rental-packages,0,0,0,0,0,0,0
/unlimited-private-play,6,5,1,71.5,0,0,0
/thank-you,1,1,0,43,0,0,0
/product-category/paintball-gift-certificates,0,0,0,0,0,0,0
